,makanan,kalori,protein,lemak,karbohidrat,tag_makanan
373,Nopia spesial,387,5.3,7.6,74.3,vegan olahan
374,Olah-olah,9,2.1,6.0,7.1,vegan olahan
375,Oncom,187,13.0,6.0,22.6,vegan fermentasi bijian olahan
376,Oncom ampas kacang hijau,376,14.9,6.0,65.7,vegan fermentasi bijian olahan
377,Oncom kacang hijau + singkong,351,11.0,5.3,65.9,vegan fermentasi bijian olahan
378,Oncom kacang tanah pepes,132,12.7,3.8,13.7,vegan fermentasi bijian olahan
379,Onde-onde,336,4.0,9.8,57.9,vegan goreng kue olahan
380,Ongol-ongol sagu,111,0.3,2.7,21.2,vegan olahan
381,"Oramu ninahu ndawa olaho, masakan",117,13.7,5.0,4.3,non-vegan olahan
382,Oyek,351,0.9,0.9,84.9,vegan olahan
383,Padamaran,171,3.9,8.9,18.8,vegan olahan
384,Paku hinela wulelenggapaya,77,3.5,4.6,5.4,vegan olahan
385,"Pala, daging, segar",42,0.3,0.2,10.9,vegan mentah bijian
386,"Paniki masak santan, masakan",460,28.5,35.2,7.2,non-vegan olahan
387,Papeda,61,0.2,0.1,14.9,vegan goreng olahan
388,"Parede baleh, masakan",87,10.5,2.5,5.5,non-vegan olahan
389,"Paria putih, kukus",16,0.8,0.2,3.4,vegan sayur
390,Pastel,307,4.5,13.3,42.4,vegan goreng kue olahan
391,Pelecing kangkung,75,2.5,2.8,10.0,vegan sayur olahan
